Year,Primary Type,Description,Location
2015,THEFT,FROM BUILDING,"(41.831505684, -87.646126637)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.753213625, -87.595192816)"
2015,THEFT,OVER $500,"(41.890100761, -87.646549336)"
2015,OTHER OFFENSE,OTHER WEAPONS VIOLATION,"(41.763321702, -87.648504129)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.845577671, -87.627475027)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.87883089, -87.728673561)"
2015,THEFT,$500 AND UNDER,"(41.678141901, -87.614972848)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.823770825, -87.621987496)"
2015,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,"(41.805008043, -87.661616562)"
2015,THEFT,$500 AND UNDER,"(41.730630929, -87.587996068)"
2015,BURGLARY,UNLAWFUL ENTRY,
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.746840731, -87.612382608)"
2015,THEFT,RETAIL THEFT,"(41.722725152, -87.554566354)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.766294592, -87.570655752)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(42.013898841, -87.66678255)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.74753544, -87.549176566)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.909792188, -87.652337601)"
2015,NARCOTICS,POSS: HALLUCINOGENS,"(41.874520022, -87.754846231)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.861975288, -87.711637158)"
2015,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"(41.754739502, -87.56629204)"
2015,THEFT,$500 AND UNDER,"(41.909798633, -87.652036281)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.909798633, -87.652036281)"
2015,THEFT,$500 AND UNDER,"(41.7515006, -87.585343286)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.774567857, -87.695713398)"
2015,OTHER OFFENSE,PAROLE VIOLATION,"(41.778445824, -87.673886246)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.877459344, -87.745166178)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.876076824, -87.733605134)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.771634712, -87.67249332)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.882004688, -87.728948432)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.845161759, -87.695225812)"
2015,THEFT,$500 AND UNDER,
2015,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,"(41.906393578, -87.75959876)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.909484866, -87.75711332)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,
2015,THEFT,OVER $500,"(41.909552404, -87.676179294)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.815415973, -87.703063387)"
2015,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN","(41.994845858, -87.673415409)"
2015,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,"(41.934007741, -87.715502687)"
2015,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,"(41.893990113, -87.702155577)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.805434202, -87.584518215)"
2015,THEFT,$500 AND UNDER,"(41.954036169, -87.741767887)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.842709067, -87.626890005)"
2015,CRIMINAL TRESPASS,TO VEHICLE,"(41.984201681, -87.815259877)"
2015,THEFT,OVER $500,"(41.926364081, -87.643977738)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.915055232, -87.76417995)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.965972307, -87.648731817)"
2015,THEFT,OVER $500,"(41.996271079, -87.728905886)"
2015,THEFT,$500 AND UNDER,"(41.774850405, -87.787322423)"
2015,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,"(41.938595705, -87.76483073)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.691607376, -87.629003437)"
2015,ROBBERY,ATTEMPT: ARMED-HANDGUN,"(41.859736078, -87.72498065)"
2015,NARCOTICS,MANU/DELIVER:CRACK,"(41.760662032, -87.644299022)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.93060224, -87.686613391)"
2015,BATTERY,SIMPLE,"(41.779059693, -87.615596501)"
2015,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,"(41.914017388, -87.755830727)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.961244035, -87.6993855)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.769898673, -87.593443605)"
2015,THEFT,OVER $500,"(41.836126824, -87.618221478)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.873632939, -87.757439126)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.796557443, -87.690221876)"
2015,ASSAULT,SIMPLE,
2015,BATTERY,SIMPLE,
2015,ASSAULT,SIMPLE,
2015,THEFT,PURSE-SNATCHING,"(41.778729109, -87.683628374)"
2015,NARCOTICS,POSS: SYNTHETIC DRUGS,"(41.771572246, -87.644570857)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.709878342, -87.646559263)"
2015,OTHER OFFENSE,TELEPHONE THREAT,"(41.756561937, -87.566325315)"
2015,ASSAULT,SIMPLE,"(41.996203026, -87.761691675)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.745757239, -87.66089335)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.733318829, -87.547004739)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.924563088, -87.775740411)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.831073285, -87.620211441)"
2015,BATTERY,SIMPLE,"(41.725258029, -87.572987555)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.687255994, -87.651951081)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.913924071, -87.695173276)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.87181504, -87.654719865)"
2015,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,"(42.021148228, -87.669971175)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"(41.890221601, -87.636995432)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.934464244, -87.723381611)"
2015,ROBBERY,ARMED: HANDGUN,"(41.707160552, -87.623823775)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.817525655, -87.604601849)"
2015,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,"(41.875134939, -87.736121787)"
2015,THEFT,$500 AND UNDER,"(41.675867571, -87.622593578)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.864646967, -87.712932912)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.813570209, -87.666328896)"
2015,BATTERY,AGGRAVATED: HANDGUN,"(41.851921529, -87.693862951)"
2015,ROBBERY,ARMED: HANDGUN,"(41.773135432, -87.606101683)"
2015,THEFT,$500 AND UNDER,"(41.896442307, -87.655722728)"
2015,THEFT,FROM BUILDING,"(41.889976467, -87.634588834)"
2015,ASSAULT,SIMPLE,"(41.7326126, -87.588039105)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.730622999, -87.602569791)"
2015,THEFT,RETAIL THEFT,"(41.908849952, -87.646645976)"
2015,THEFT,POCKET-PICKING,"(41.904370109, -87.631460067)"
2015,ROBBERY,STRONGARM - NO WEAPON,"(41.6869319, -87.61320196)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.871057139, -87.696811458)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.904624755, -87.710327235)"
2015,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,"(41.786299663, -87.700169585)"
2015,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME","(41.814702088, -87.723844285)"
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.778363929, -87.693373371)"
2015,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,
2015,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"(41.691964476, -87.621043395)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.972571826, -87.725721053)"
2015,THEFT,$500 AND UNDER,"(41.916392734, -87.70391526)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,
2015,BATTERY,SIMPLE,"(41.757339381, -87.636678211)"
2015,THEFT,OVER $500,"(41.896267502, -87.655397677)"
2015,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,"(41.896400972, -87.647833511)"
2015,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,"(41.886288913, -87.773429182)"
2015,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"(41.749876545, -87.682838316)"
2015,THEFT,FROM BUILDING,"(41.88278344, -87.636786095)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.97912164, -87.655056515)"
2015,BATTERY,SIMPLE,"(41.968434832, -87.710088296)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.774798897, -87.614892463)"
2015,THEFT,POCKET-PICKING,"(41.896400972, -87.647833511)"
2015,THEFT,$500 AND UNDER,"(41.776426289, -87.690884973)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.792319349, -87.61591798)"
2015,THEFT,RETAIL THEFT,"(41.678519693, -87.662497935)"
2015,ASSAULT,SIMPLE,"(41.762472846, -87.663720794)"
2015,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"(41.877585867, -87.683123746)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.810677511, -87.616626532)"
2015,THEFT,RETAIL THEFT,"(41.754592961, -87.741528537)"
2015,THEFT,$500 AND UNDER,"(41.777174737, -87.701139239)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.673275157, -87.635744297)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.873935958, -87.755483038)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.879605676, -87.709854261)"
2015,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,"(41.735099535, -87.644418431)"
2015,THEFT,POCKET-PICKING,"(41.882381731, -87.629412971)"
2015,ASSAULT,SIMPLE,"(41.899836521, -87.73203479)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"(41.897098205, -87.731593998)"
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"(41.894063076, -87.628821934)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.9417623, -87.701772867)"
2015,THEFT,OVER $500,"(41.809297059, -87.591967028)"
2015,BATTERY,SIMPLE,
2015,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,
2015,THEFT,OVER $500,"(41.758125035, -87.605376887)"
2015,CRIMINAL TRESPASS,TO RESIDENCE,"(41.976388773, -87.712342361)"
2015,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,"(41.688890454, -87.628103131)"
2015,BATTERY,SIMPLE,"(41.900155706, -87.731150217)"
2015,THEFT,$500 AND UNDER,"(41.912276851, -87.678961909)"
2015,BURGLARY,UNLAWFUL ENTRY,
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.700199527, -87.537700858)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.869604522, -87.620513971)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.750615371, -87.616525456)"
2015,OTHER OFFENSE,OTHER VEHICLE OFFENSE,"(41.883728128, -87.704426917)"
2015,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"(41.747161712, -87.731556033)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.772118511, -87.58872572)"
2015,BATTERY,SIMPLE,"(41.903041819, -87.685616919)"
2015,THEFT,FROM BUILDING,"(41.890384236, -87.624109917)"
2015,NARCOTICS,MANU/DELIVER:CRACK,"(41.87949208, -87.746091258)"
2015,THEFT,$500 AND UNDER,"(41.70019283, -87.704933137)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(41.985261648, -87.662741159)"
2015,THEFT,FROM BUILDING,"(41.891694878, -87.626155832)"
2015,THEFT,$500 AND UNDER,"(41.744186636, -87.544255821)"
2015,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"(41.89837859, -87.773690903)"
2015,THEFT,PURSE-SNATCHING,
2015,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"(41.86556473, -87.684831549)"
2015,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,"(42.020064236, -87.669489304)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.933799675, -87.653897806)"
2015,NARCOTICS,POSS: HEROIN(WHITE),"(41.921145158, -87.781708083)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.803201891, -87.72198373)"
2015,THEFT,$500 AND UNDER,"(41.851761023, -87.705558672)"
2015,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,"(41.769014078, -87.572709347)"
2015,OTHER OFFENSE,HARASSMENT BY TELEPHONE,"(41.837869311, -87.724373124)"
2015,BATTERY,SIMPLE,"(41.880348354, -87.735467347)"
2015,ASSAULT,SIMPLE,"(41.967929496, -87.649288171)"
2015,BATTERY,SIMPLE,"(41.680834251, -87.646879157)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.824902067, -87.609346517)"
2015,BURGLARY,FORCIBLE ENTRY,"(41.860260107, -87.721341433)"
2015,THEFT,RETAIL THEFT,"(41.925921947, -87.649432101)"
2015,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"(41.800464977, -87.723370404)"
2015,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,"(41.808644276, -87.643110171)"
2015,THEFT,FROM BUILDING,"(41.931216967, -87.668360697)"
2015,BATTERY,SIMPLE,"(41.873809306, -87.694283701)"
2015,BATTERY,SIMPLE,"(41.988719229, -87.668384208)"
2015,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,
2015,THEFT,$500 AND UNDER,"(41.762342874, -87.664964705)"
2015,OTHER OFFENSE,OTHER VEHICLE OFFENSE,"(41.754940787, -87.604808155)"
2015,THEFT,RETAIL THEFT,"(41.954838431, -87.749458817)"
2015,CRIMINAL DAMAGE,TO VEHICLE,"(41.668331588, -87.635578066)"
2015,THEFT,$500 AND UNDER,"(41.883376682, -87.627874384)"
2015,THEFT,RETAIL THEFT,"(41.736148121, -87.629070243)"
2015,CRIMINAL DAMAGE,TO PROPERTY,"(41.770318159, -87.628293372)"
2015,THEFT,POCKET-PICKING,"(41.72182671, -87.575339397)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.65663988, -87.602334544)"
2015,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"(41.707462015, -87.605329791)"
2015,ASSAULT,SIMPLE,"(41.792950049, -87.710892789)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.897137351, -87.760717423)"
2015,ROBBERY,ARMED: HANDGUN,"(41.744985502, -87.606272864)"
2015,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,"(41.780294584, -87.664239363)"
2015,BATTERY,DOMESTIC BATTERY SIMPLE,"(41.931750218, -87.78084863)"
2015,BURGLARY,UNLAWFUL ENTRY,"(41.768635844, -87.623381396)"
2015,BATTERY,SIMPLE,
2015,THEFT,OVER $500,"(41.892509386, -87.626069718)"
2015,MOTOR VEHICLE THEFT,AUTOMOBILE,"(42.006721437, -87.664189941)"
2015,BURGLARY,UNLAWFUL ENTRY,
